"meanBWDY"	"medianBWDY"	"sdBWDY"	"quant2.5BWDY"	"quant25BWDY"	"quant50BWDY"	"quant75BWDY"	"quant97.5BWDY"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
-0.568013040247702	-0.584905660377358	0.144487583895909	-0.763507136597354	-0.669626998223801	-0.584905660377358	-0.492063492063492	-0.26984126984127	"1WK"	"10"	"1"	"2018"	"HI"	4
-0.604906978348764	-0.637666325486182	0.187833263460772	-0.776805251641138	-0.705006765899865	-0.637666325486182	-0.561561561561562	-0.228668941979522	"1WK"	"10"	"2"	"2017"	"HI"	4
-0.573129538198399	-0.595744680851064	0.155908819750966	-0.773879142300195	-0.682403433476395	-0.595744680851064	-0.493123772102161	-0.246105919003115	"1WK"	"10"	"2"	"2018"	"HI"	4
-0.621195039549291	-0.655480984340045	0.190283314372527	-0.814207650273224	-0.726519337016575	-0.655480984340045	-0.563963225599544	-0.256544502617801	"1WK"	"10"	"3"	"2017"	"HI"	4
-0.602067173368424	-0.630573248407643	0.146028797176886	-0.777777777777778	-0.704442429737081	-0.630573248407643	-0.531393568147014	-0.282051282051282	"1WK"	"10"	"3"	"2018"	"HI"	4
-0.558675233599863	-0.585677749360614	0.219032892523088	-0.813528336380256	-0.680071492403932	-0.585677749360614	-0.494661921708185	-0.0833333333333333	"1WK"	"10"	"4"	"2017"	"HI"	4
-0.544565179423513	-0.563342318059299	0.165980543402617	-0.765030336458908	-0.656804733727811	-0.563342318059299	-0.465400271370421	-0.197604790419162	"1WK"	"10"	"4"	"2018"	"HI"	4
-0.605575110708473	-0.636788776305534	0.18590529096305	-0.778761061946903	-0.71249018067557	-0.636788776305534	-0.55425219941349	-0.231884057971014	"1WK"	"10"	"5"	"2017"	"HI"	4
-0.568574963880813	-0.594454072790294	0.152741109425096	-0.755196304849885	-0.672890216579537	-0.594454072790294	-0.497326203208556	-0.245136186770428	"1WK"	"10"	"5"	"2018"	"HI"	4
-0.552823232665965	-0.590574374079529	0.225285591161896	-0.791411042944785	-0.703225806451613	-0.590574374079529	-0.465400271370421	-0.0476190476190476	"1WK"	"11"	"1"	"2017"	"LO"	4
-0.520650854648593	-0.531213191990577	0.164697442238859	-0.757225727093651	-0.639058413251962	-0.531213191990577	-0.428571428571429	-0.185185185185185	"1WK"	"11"	"1"	"2018"	"LO"	4
-0.53025160901482	-0.599147121535181	0.282827642610421	-0.770786516853933	-0.688102893890675	-0.599147121535181	-0.478439425051335	0.338842975206612	"1WK"	"11"	"2"	"2017"	"LO"	4
-0.477323014927903	-0.488833746898263	0.175621180845218	-0.741046831955923	-0.591760299625468	-0.488833746898263	-0.390728476821192	-0.116279069767442	"1WK"	"11"	"2"	"2018"	"LO"	4
-0.577363035398326	-0.633888048411498	0.257256104418774	-0.809235427706283	-0.725636250775916	-0.633888048411498	-0.513353115727003	0.0625000000000001	"1WK"	"11"	"3"	"2017"	"LO"	4
-0.551690055866962	-0.57625383828045	0.158002097009752	-0.752688172043011	-0.658341658341658	-0.57625383828045	-0.477477477477477	-0.217391304347826	"1WK"	"11"	"3"	"2018"	"LO"	4
-0.501174180288759	-0.538461538461538	0.274745357245507	-0.810730253353204	-0.68273444347064	-0.538461538461538	-0.402439024390244	0.190751445086705	"1WK"	"11"	"4"	"2017"	"LO"	4
-0.54440370818135	-0.567328918322296	0.168414596310531	-0.760932944606414	-0.666666666666667	-0.567328918322296	-0.455696202531646	-0.19205298013245	"1WK"	"11"	"4"	"2018"	"LO"	4
-0.524701290276775	-0.579778830963665	0.274606046530292	-0.78705636743215	-0.711822660098522	-0.579778830963665	-0.428571428571429	0.179487179487179	"1WK"	"11"	"5"	"2017"	"LO"	4
-0.597783317686789	-0.615894039735099	0.139199640625868	-0.772025883524141	-0.693404634581105	-0.615894039735099	-0.531322505800464	-0.310043668122271	"1WK"	"11"	"5"	"2018"	"LO"	4
-0.547512961215165	-0.576506955177743	0.214626609990251	-0.808630393996248	-0.694058154235145	-0.576506955177743	-0.453634085213033	-0.0687022900763358	"1WK"	"12"	"1"	"2017"	"NO"	4
-0.511319992074184	-0.521394611727417	0.159226362444437	-0.759615384615385	-0.62109375	-0.521394611727417	-0.420959147424512	-0.186440677966102	"1WK"	"12"	"1"	"2018"	"NO"	4
-0.578821487361821	-0.592356687898089	0.175692315813415	-0.806451612903226	-0.694670198247305	-0.592356687898089	-0.497919556171983	-0.234567901234568	"1WK"	"12"	"2"	"2017"	"NO"	4
-0.530102458709199	-0.543026706231454	0.163891838894899	-0.76551724137931	-0.642105263157895	-0.543026706231454	-0.44578313253012	-0.189189189189189	"1WK"	"12"	"2"	"2018"	"NO"	4
