"GrazeTime"	"Plot"	"Sample"	"Block"	"Treatment"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"NO3_ppm"	"NH4_ppm"	"NO3_mgkg"	"NH4_mgkg"	"minN_ppm"	"minN_mgkg"
"62"	"24H"	1	2	1	"NO"	35.37	2.647	183.4133722	13.72618593	63.96	6.114	273.7953052	26.17236547	90.38193294	12.44617955	200.8487399	23.04848064	0.09998	0.02457507	0.518452614	0.12743558	0.12455507	0.645888194
"63"	"24H"	1	3	1	"NO"	64.35	2.03	324.7504268	10.24465216	49.31	4.175	208.6055862	17.66230627	0	7.417654115	0	13.73639651	0.10284	0.01834707	0.518995088	0.092590813	0.12118707	0.611585901
"64"	"24H"	1	4	1	"NO"	42.21	2.543	213.9330404	12.88869277	48.18	4.641	198.0533719	19.07774386	0	6.189051092	0	11.46120573	0.10232	0.02422907	0.518588692	0.122800251	0.12654907	0.641388943
"65"	"24H"	1	5	1	"NO"	39.84	2.613	206.283834	13.52960989	66.2	5.401	282.5978931	23.05606073	76.31405914	9.526450842	169.5867981	17.64157563	0.0992	0.01903907	0.513638462	0.098580631	0.11823907	0.612219093
"66"	"24H"	10	1	4	"HI"	32.59	2.405	162.5500636	11.99548643	44.65	4.209	186.4482415	17.57582639	23.89817792	5.580339959	53.10706206	10.33396289	0.10232	0.02198007	0.510344354	0.109630616	0.12430007	0.61997497
"67"	"24H"	10	2	4	"HI"	30.55	2.162	152.9251957	10.82239847	48.31	4.425	203.5440797	18.64381189	50.61888395	7.821413426	112.4864088	14.48409894	0.1109	0.02284507	0.555135981	0.11435636	0.13374507	0.669492341
"68"	"24H"	10	3	4	"HI"	52.4	3.497	260.5707033	17.38961354	70.13	5.952	304.7271362	25.86248274	44.15643289	8.472869203	98.12540643	15.69049852	0.10024	0.03097607	0.498465788	0.154035426	0.13121607	0.652501214
"69"	"24H"	10	4	4	"HI"	35.31	2.222	174.3283411	10.97019468	49.07	5.449	206.3926941	22.91896862	32.06435298	11.94877395	71.25411774	22.12735916	0.10284	0.02509407	0.507729442	0.123891464	0.12793407	0.631620906
"70"	"24H"	10	5	4	"HI"	32.86	1.42	170.245826	7.356940744	30.89	3.308	138.2332053	14.80334876	0	7.446408013	0	13.78964447	0.0979	0.02284507	0.507214436	0.118359033	0.12074507	0.625573469
"71"	"24H"	11	1	4	"LO"	118.05	3.878	605.1121597	19.87822919	77.46	7.314	323.6371415	30.5587665	0	10.68053731	0	19.7787728	0.10128	0.03443607	0.519150864	0.176515753	0.13571607	0.695666617
"72"	"24H"	11	2	4	"LO"	72.17	3.964	350.972719	19.27748175	76.61	7.792	321.015173	32.65044025	0	13.3729585	0	24.76473796	0.11584	0.03806907	0.563345985	0.185135167	0.15390907	0.748481152
"73"	"24H"	11	3	4	"LO"	60.02	2.579	294.2141152	12.64208935	55.33	5.722	232.0826899	24.00103293	0	11.35894357	0	21.03508069	0.107	0.03028407	0.524507003	0.148450531	0.13728407	0.672957534
"74"	"24H"	11	4	4	"LO"	47.23	3.211	231.0232767	15.70645229	72.64	7.275	306.557325	30.702155	75.53404828	14.99570272	167.8534406	27.76981984	0.1083	0.03184107	0.529744249	0.155749065	0.14014107	0.685493314
"75"	"24H"	11	5	4	"LO"	32.26	2.045	162.8385757	10.32253215	55.09	5.415	243.1788031	23.90294462	80.34022746	13.58041247	178.5338388	25.14891197	0.10284	0.02474807	0.519104747	0.124920659	0.12758807	0.644025406
"76"	"24H"	12	1	4	"NO"	55.24	2.957	273.4388496	14.63719548	55.52	4.189	234.8463576	17.71922536	0	3.082029886	0	5.707462752	0.1083	0.02284507	0.536086666	0.113083448	0.13114507	0.649170114
"77"	"24H"	12	2	4	"NO"	43.72	2.479	216.3463262	12.26721278	65.19	7.122	269.7560219	29.47081436	53.40969565	17.20360158	118.6882126	31.85852144	0.1083	0.03011107	0.535917363	0.149003188	0.13841107	0.684920551
"78"	"24H"	12	3	4	"NO"	61.74	2.296	307.8240244	11.44742404	62.53	5.361	269.193781	23.0792877	0	11.63186366	0	21.54048826	0.09842	0.02665107	0.490703604	0.132877221	0.12507107	0.623580825
"79"	"24H"	12	4	4	"NO"	72.43	3.132	357.8736055	15.47508122	73.79	4.85	313.4473822	20.60197593	0	5.126894711	0	9.494249465	0.10076	0.02249907	0.497850953	0.111166965	0.12325907	0.609017918
"80"	"24H"	12	5	4	"NO"	23.58	1.856	117.8037316	9.27242264	54.08	6.09	229.4934007	25.84346913	111.6896691	16.57104649	248.1992648	30.68712313	0.11454	0.01921207	0.572232376	0.095981914	0.13375207	0.66821429
"81"	"24H"	2	1	1	"LO"	30.84	2.426	152.3167879	11.98185887	56.51	5.789	237.4394463	24.3237826	85.12265838	12.34192373	189.1614631	22.85541431	0.0979	0.02509407	0.48352184	0.123938007	0.12299407	0.607459847
"82"	"24H"	2	2	1	"LO"	32.4	2.229	160.9455621	11.07245858	63.97	5.906	269.2031068	24.85404953	108.2575446	13.78159095	240.5723214	25.52146473	0	0.02301807	0	0.114341241	0.02301807	0.114341241
"83"	"24H"	2	3	1	"LO"	30.22	2.044	152.6784622	10.32676296	62.99	5.667	272.9939049	24.5603502	120.3154427	14.23358724	267.3676505	26.35849489	0.09764	0.01506007	0.493299969	0.076086973	0.11270007	0.569386942
"84"	"24H"	2	4	1	"LO"	69.85	2.327	354.5120301	11.81030056	56.53	5.045	248.1371596	22.14491367	0	10.33461311	0	19.13817243	0.09712	0.02388307	0.492916369	0.12121454	0.12100307	0.614130909
"85"	"24H"	2	5	1	"LO"	28.93	2.328	148.5567325	11.95437516	65.98	6.061	275.5933283	25.3163256	127.0365958	13.36195044	282.3035462	24.74435266	0.10336	0.01955807	0.530757825	0.100431489	0.12291807	0.631189314
"86"	"24H"	3	1	1	"HI"	41.28	3.276	210.0131969	16.66674499	63.26	5.53	268.4505868	23.4671474	58.43738985	6.800402416	129.8608663	12.59333781	0.11532	0.02509407	0.586693844	0.127666809	0.14041407	0.714360653
"87"	"24H"	3	2	1	"HI"	54.98	2.846	274.1472605	14.19103498	72.59	5.657	311.4242406	24.26955406	37.27698011	10.07851907	82.83773357	18.66392421	0	0.02198007	0	0.109599418	0.02198007	0.109599418
"88"	"24H"	3	3	1	"HI"	59.16	3.533	314.2965151	18.76960088	110.31	9.88	496.1978485	44.44234198	181.9013334	25.6727411	404.2251854	47.54211315	0.0979	0.02025007	0.520108668	0.107581583	0.11815007	0.627690251
"89"	"24H"	3	4	1	"HI"	32.92	2.503	197.226899	14.99571471	70.73	7.312	363.9777649	37.62767449	166.7508659	22.63195978	370.5574797	41.91103664	0.10102	0.02059607	0.605220575	0.123393044	0.12161607	0.728613619
"90"	"24H"	3	5	1	"HI"	39.65	2.587	243.5022249	15.88752222	76	8.109	375.8817734	40.10559606	132.3795485	24.21807384	294.1767744	44.8482849	0.10856	0.01748207	0.666698652	0.107362495	0.12604207	0.774061147
"91"	"24H"	4	1	2	"NO"	117.15	2.376	621.6861778	12.60884642	63.34	5.829	279.8901583	25.75749499	0	13.14864857	0	24.3493492	0.09764	0.02890007	0.518151416	0.153365549	0.12654007	0.671516965
"92"	"24H"	4	2	2	"NO"	43.67	2.287	216.303863	11.32784371	56.82	5.219	242.6955075	22.29193688	26.39164442	10.96409317	58.64809871	20.30387624	0.09712	0.02578607	0.481049489	0.127722156	0.12290607	0.608771645
"93"	"24H"	4	3	2	"NO"	30.31	2.021	156.0228694	10.40324048	55.52	5.257	240.3260394	22.75565542	84.30317002	12.35241494	187.3403778	22.87484248	0	0.01869307	0	0.0962239	0.01869307	0.0962239
"94"	"24H"	4	4	2	"NO"	46.94	2.366	247.6388299	12.48217877	64.09	5.801	282.3769496	25.55888102	34.73811968	13.07670225	77.19582151	24.21611527	0	0.02353707	0	0.124173253	0.02353707	0.124173253
"95"	"24H"	4	5	2	"NO"	30.36	2.38	177.3993202	13.90679783	56.01	4.884	277.3578799	24.18525058	99.95855962	10.27845275	222.1301325	19.03417176	0.09894	0.02890007	0.578125453	0.168868668	0.12784007	0.746994121
"96"	"24H"	5	1	2	"LO"	54.1	3.535	282.8722773	18.48342884	66.38	7.071	290.9231435	30.9900203	8.050866235	12.50659146	17.89081386	23.16035456	0.1252	0.03928007	0.654632331	0.205383417	0.16448007	0.860015748
"97"	"24H"	5	2	2	"LO"	53.76	2.811	270.3344672	14.13523414	46.8	4.611	198.3125738	19.53887346	0	5.403639321	0	10.00673948	0.0992	0.03322507	0.498831457	0.16707369	0.13242507	0.665905147
"98"	"24H"	5	3	2	"LO"	56.76	2.503	282.5098424	12.45810669	55.42	4.504	234.7577027	19.07882881	0	6.620722128	0	12.26059653	0.10388	0.02751607	0.517038802	0.136954908	0.13139607	0.65399371
"99"	"24H"	5	4	2	"LO"	35.36	2.503	179.3927295	12.69852947	59.85	5.667	257.275916	24.36061179	77.88318647	11.66208233	173.0737477	21.59644875	0.1083	0.02492107	0.549440967	0.126432657	0.13322107	0.675873624
"100"	"24H"	5	5	2	"LO"	33.66	2.571	167.928055	12.8265903	60.56	6.479	260.0170387	27.81787308	92.0889837	14.99128278	204.642186	27.76163478	0.10206	0.03357107	0.509172231	0.167484388	0.13563107	0.676656619
"101"	"24H"	6	1	2	"HI"	27.9	1.387	149.9167443	7.452850334	59.17	2.778	268.4282595	12.60256388	118.5115152	5.149713546	263.3589226	9.536506566	0.09842	0.02665107	0.528846092	0.143205794	0.12507107	0.672051886
"102"	"24H"	6	2	2	"HI"	48.64	2.475	245.3333169	12.4835518	48.53	4.435	206.1595937	18.84025959	0	6.356707794	0	11.7716811	0.11558	0.03322507	0.582969259	0.167582579	0.14880507	0.750551838
"103"	"24H"	6	3	2	"HI"	21.85	1.825	113.5741839	9.486173255	54	5.508	234.5373172	23.92280635	120.9631333	14.4366331	268.8069629	26.73450574	0.1096	0.02388307	0.569690186	0.124141885	0.13348307	0.693832071
"104"	"24H"	6	4	2	"HI"	36.25	1.926	184.2108734	9.787314269	55.72	5.51	239.7597465	23.70919245	55.54887307	13.92187818	123.4419402	25.78125589	0.10284	0.02111507	0.522599896	0.107300013	0.12395507	0.629899909
"105"	"24H"	6	5	2	"HI"	35.74	2.021	178.9554529	10.11944517	40.97	4.262	176.3678742	18.3470803	0	8.227635136	0	15.23636136	0.1044	0.02025007	0.522746203	0.101395088	0.12465007	0.624141291
"106"	"24H"	7	1	3	"LO"	42.06	2.649	208.3783968	13.12397464	86.32	8.059	362.0934122	33.80573226	153.7150154	20.68175763	341.588923	38.29955116	0.10726	0.02595907	0.531399592	0.128609353	0.13321907	0.660008945
"107"	"24H"	7	2	3	"LO"	26.45	1.845	128.1729287	8.940606936	57.14	4.367	234.227841	17.90117223	106.0549123	8.960565298	235.6775828	16.59363944	0.1083	0.02890007	0.524806358	0.140045619	0.13720007	0.664851977
"108"	"24H"	7	3	3	"LO"	26.82	2.393	130.4622456	11.64042333	52.7	4.617	222.4826993	19.49151087	92.02045367	7.851087533	204.489897	14.53905099	0.10284	0.02890007	0.500251206	0.140580463	0.13174007	0.640831669
