"GrazeTime"	"Block"	"Treatment"	"Plot"	"Sample"	"SampDate"	"NO3_t0Nmin_ppm"	"NH4_t0Nmin_ppm"	"NPOC_t0Nmin_ppm"	"DON_t0Nmin_ppm"	"NO3_t0Nmin_mgg"	"NH4_t0Nmin_mgg"	"NPOC_t0Nmin_mgg"	"DON_t0Nmin_mgg"	"NPOC_mbc_ppm"	"DON_mbc_ppm"	"DOC_mbc_mgg"	"DON_mbc_mgg"	"chl_labile_C_mgg"	"chl_labile_N_mgg"	"mbc_mgg"	"mbn_mgg"	"minN_mgg"
"PRE"	4	"HI"	10	5	2017-07-05	0.005	0.165	91.28	4.168	0.026188345	0.864215382	478.0944246	21.83060431	108.01	7.613	432.8845005	30.51152395	0	8.680919641	0	16.07577711	0.890403727
"24H"	4	"HI"	10	5	2017-07-14	0.005	0.092	32.86	1.42	0.025904721	0.476646865	170.245826	7.356940744	30.89	3.308	138.2332053	14.80334876	0	7.446408013	0	13.78964447	0.502551586
"1WK"	4	"HI"	10	5	2017-07-20	0.012	0.154	109.95	2.776	0.062147121	0.797554725	569.4229998	14.37670075	54.16	2.978	238.0451279	13.08896586	0	0	0	0	0.859701846
"4WK"	4	"HI"	10	5	2017-08-10	0.012	0.099	104.25	4.394	0.067707572	0.558587472	588.209535	24.79225608	109.11	9.49	507.8485924	44.17086556	0	19.37860948	0	35.88631385	0.626295044
"PRE"	4	"LO"	11	1	2017-07-05	0.007	0.209	63.79	3.656	0.035939782	1.073059207	327.5140995	18.77083474	78.14	7.011	333.5199402	29.92460073	6.005840687	11.15376599	13.34631264	20.65512221	1.108998989
"24H"	4	"LO"	11	1	2017-07-14	0.018	0.159	118.05	3.878	0.092266149	0.815017648	605.1121597	19.87822919	77.46	7.314	323.6371415	30.5587665	0	10.68053731	0	19.7787728	0.907283797
"1WK"	4	"LO"	11	1	2017-07-20	0.056	0.181	61.3	2.095	0.284725288	0.920272806	311.6725029	10.65177641	47.02	3.894	200.1410402	16.57484497	0	5.923068567	0	10.96864549	1.204998094
"4WK"	4	"LO"	11	1	2017-08-10	0.083	0.057	34.3	2.297	0.493871745	0.339164934	204.0939863	13.6677518	50.2	6.496	239.4562458	30.98621061	35.36225949	17.31845882	78.58279887	32.07122003	0.833036679
"PRE"	4	"LO"	11	2	2017-07-05	0	0.192	62.75	3.11	0	0.99753715	326.0180008	16.15802362	83.75	6.023	357.5107763	25.7108944	31.49277551	9.552870771	69.98394557	17.69050143	0.992341644
"24H"	4	"LO"	11	2	2017-07-14	0.074	0.18	72.17	3.964	0.359872263	0.875364964	350.972719	19.27748175	76.61	7.792	321.015173	32.65044025	0	13.3729585	0	24.76473796	1.235237227
"1WK"	4	"LO"	11	2	2017-07-20	0.071	0.155	44.24	1.805	0.359698294	0.785256838	224.1275001	9.144442532	76.4	3.729	326.228278	15.92284357	102.1007779	6.778401035	226.8906176	12.55259451	1.144955132
"4WK"	4	"LO"	11	2	2017-08-10	0.031	0.047	31.57	1.336	0.171776874	0.260435906	174.935352	7.403029151	46.34	4.928	208.1782773	22.13859626	33.24292527	14.73556711	73.87316727	27.28808723	0.43221278
"PRE"	4	"LO"	11	3	2017-07-05	0	0.2	56.74	3.406	0	1.060013254	300.72576	18.05202571	87.09	6.702	376.4655584	28.97085971	75.73979833	10.918834	168.310663	20.22006297	1.038812989
"24H"	4	"LO"	11	3	2017-07-14	0.04	0.134	60.02	2.579	0.196077384	0.656859237	294.2141152	12.64208935	55.33	5.722	232.0826899	24.00103293	0	11.35894357	0	21.03508069	0.852936621
"1WK"	4	"LO"	11	3	2017-07-20	0.044	0.152	65.94	2.184	0.219698915	0.758959887	329.2487826	10.90505522	49.13	3.401	207.6618869	14.37529162	0	3.4702364	0	6.426363704	0.978658802
