"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"ammonium.ppm"	"gravimetric.moisture"	"bd"	"ph"
"6"	"2"	"HI"	"24H"	"3"	0.098	8.43	NA	NA
"6"	"2"	"HI"	"1WK"	"3"	0.237	7.53	NA	NA
"6"	"2"	"HI"	"4WK"	"3"	0.052	20.89	1.0231288981289	7.42
"6"	"2"	"HI"	"PRE"	"4"	0.178	7.04	1.11642949547219	7.43
"6"	"2"	"HI"	"24H"	"4"	0.081	9.02	NA	NA
"6"	"2"	"HI"	"1WK"	"4"	0.177	14.92	NA	NA
"6"	"2"	"HI"	"4WK"	"4"	0.053	15.55	1.18464730290456	7.44
"6"	"2"	"HI"	"PRE"	"5"	0.231	9.31	0.785395324402417	5.8
"6"	"2"	"HI"	"24H"	"5"	0.077	8.37	NA	NA
"6"	"2"	"HI"	"1WK"	"5"	0.337	16.42	NA	NA
"6"	"2"	"HI"	"4WK"	"5"	0.051	20.69	1.12490282456595	7.56
"7"	"3"	"LO"	"PRE"	"1"	0.252	7.42	1.20161080800208	7.37
"7"	"3"	"LO"	"24H"	"1"	0.11	7.06	NA	NA
"7"	"3"	"LO"	"1WK"	"1"	0.13	7.01	NA	NA
"7"	"3"	"LO"	"4WK"	"1"	0.046	13.9	1.23216601815824	7.39
"7"	"3"	"LO"	"PRE"	"2"	0.38	5.75	1.20462217605817	7.34
"7"	"3"	"LO"	"24H"	"2"	0.126	5.78	NA	NA
"7"	"3"	"LO"	"1WK"	"2"	0.178	6.31	NA	NA
"7"	"3"	"LO"	"4WK"	"2"	0.025	15.38	1.04620976116303	7.14
"7"	"3"	"LO"	"PRE"	"3"	0.249	4.92	1.14034179181771	7.39
"7"	"3"	"LO"	"24H"	"3"	0.127	6.07	NA	NA
"7"	"3"	"LO"	"1WK"	"3"	0.229	5.6	NA	NA
"7"	"3"	"LO"	"4WK"	"3"	0.019	18.15	1.1605611847233	7.29
"7"	"3"	"LO"	"PRE"	"4"	0.369	5.81	0.666058394160584	7.42
"7"	"3"	"LO"	"24H"	"4"	0.06	12.15	NA	NA
"7"	"3"	"LO"	"1WK"	"4"	0.261	4.54	NA	NA
"7"	"3"	"LO"	"4WK"	"4"	0.062	15.43	1.11396011396011	7.24
"7"	"3"	"LO"	"PRE"	"5"	0.177	5.45	1.22097573702061	7.43
"7"	"3"	"LO"	"24H"	"5"	0.054	16.41	NA	NA
"7"	"3"	"LO"	"1WK"	"5"	0.098	5.81	NA	NA
"7"	"3"	"LO"	"4WK"	"5"	0.035	17.18	1.21667098110277	7.3
"8"	"3"	"NO"	"PRE"	"1"	0.196	6.04	1.14337568058076	7.45
"8"	"3"	"NO"	"24H"	"1"	0.096	9.62	NA	NA
"8"	"3"	"NO"	"1WK"	"1"	0.123	10.08	NA	NA
"8"	"3"	"NO"	"4WK"	"1"	0.037	15.49	1.19551616266945	7.47
"8"	"3"	"NO"	"PRE"	"2"	0.205	4.55	1.12759336099585	7.24
"8"	"3"	"NO"	"24H"	"2"	0.131	11.66	NA	NA
"8"	"3"	"NO"	"1WK"	"2"	0.045	6.05	NA	NA
"8"	"3"	"NO"	"4WK"	"2"	0.064	17.39	1.09074457083764	7.33
"8"	"3"	"NO"	"PRE"	"3"	0.199	7.4	0.944790046656298	7.21
"8"	"3"	"NO"	"24H"	"3"	0.109	7.05	NA	NA
"8"	"3"	"NO"	"1WK"	"3"	0.148	8.28	NA	NA
"8"	"3"	"NO"	"4WK"	"3"	0.05	15.98	1.07833505687694	7.37
"8"	"3"	"NO"	"PRE"	"4"	0.235	5.99	0.990923236514523	7.59
"8"	"3"	"NO"	"24H"	"4"	0.084	8.18	NA	NA
"8"	"3"	"NO"	"1WK"	"4"	0.058	11.16	NA	NA
"8"	"3"	"NO"	"4WK"	"4"	0.033	29.4	1.10139679255044	6.38
"8"	"3"	"NO"	"PRE"	"5"	0.231	5.99	1.0861801242236	7.58
"8"	"3"	"NO"	"24H"	"5"	0.086	16.56	NA	NA
"8"	"3"	"NO"	"1WK"	"5"	0.144	7.54	NA	NA
"8"	"3"	"NO"	"4WK"	"5"	0.022	23.49	1.08130718954248	6.74
"9"	"3"	"HI"	"PRE"	"1"	0.22	6.24	0.847312386393144	7.02
"9"	"3"	"HI"	"24H"	"1"	0.091	10.1	NA	NA
"9"	"3"	"HI"	"1WK"	"1"	0.296	8.65	NA	NA
"9"	"3"	"HI"	"4WK"	"1"	0.079	16.01	0.945006485084306	7.19
"9"	"3"	"HI"	"PRE"	"2"	0.197	5.1	0.798184176394293	7.2
"9"	"3"	"HI"	"24H"	"2"	0.089	8.18	NA	NA
"9"	"3"	"HI"	"1WK"	"2"	0.146	6.44	NA	NA
"9"	"3"	"HI"	"4WK"	"2"	0.06	13.81	1.19797612869746	7.47
"9"	"3"	"HI"	"PRE"	"3"	0.177	5.1	0.87244094488189	7.63
"9"	"3"	"HI"	"24H"	"3"	0.151	10.43	NA	NA
"9"	"3"	"HI"	"1WK"	"3"	0.281	7.14	NA	NA
"9"	"3"	"HI"	"4WK"	"3"	0.045	14.41	1.21411886841422	7.41
"9"	"3"	"HI"	"PRE"	"4"	0.22	5.84	1.09617884065506	7.52
"9"	"3"	"HI"	"24H"	"4"	0.154	12.69	NA	NA
"9"	"3"	"HI"	"1WK"	"4"	0.148	8.56	NA	NA
"9"	"3"	"HI"	"4WK"	"4"	0.067	14.41	1.20518134715026	7.35
"9"	"3"	"HI"	"PRE"	"5"	0.137	18.71	1.05342715663279	7.5
"9"	"3"	"HI"	"24H"	"5"	0.162	22.86	NA	NA
"9"	"3"	"HI"	"1WK"	"5"	0.165	8.03	NA	NA
"9"	"3"	"HI"	"4WK"	"5"	0.027	16.11	1.22202025447936	7.32
"10"	"4"	"HI"	"PRE"	"1"	0.223	5.1	1.03815208928108	7.33
"10"	"4"	"HI"	"24H"	"1"	0.086	6.99	NA	NA
"10"	"4"	"HI"	"1WK"	"1"	0.138	6.92	NA	NA
"10"	"4"	"HI"	"4WK"	"1"	0.083	22.18	1.16947832857514	7.4
"10"	"4"	"HI"	"PRE"	"2"	0.229	7.52	0.98575867426204	7.25
"10"	"4"	"HI"	"24H"	"2"	0.092	6.82	NA	NA
"10"	"4"	"HI"	"1WK"	"2"	0.139	10.19	NA	NA
"10"	"4"	"HI"	"4WK"	"2"	0.104	22.09	1.2978391043999	7.35
"10"	"4"	"HI"	"PRE"	"3"	0.212	5.42	0.863837542306691	7.63
"10"	"4"	"HI"	"24H"	"3"	0.138	7.88	NA	NA
"10"	"4"	"HI"	"1WK"	"3"	0.158	7.82	NA	NA
"10"	"4"	"HI"	"4WK"	"3"	0.065	21.78	1.25504919730709	7.38
"10"	"4"	"HI"	"PRE"	"4"	0.1	5.57	1.05154105154105	7.73
"10"	"4"	"HI"	"24H"	"4"	0.105	7.68	NA	NA
"10"	"4"	"HI"	"1WK"	"4"	0.148	11.49	NA	NA
"10"	"4"	"HI"	"4WK"	"4"	0.114	19.61	1.24604204515962	7.29
"10"	"4"	"HI"	"PRE"	"5"	0.165	6.21	0.998963193364437	7.36
"10"	"4"	"HI"	"24H"	"5"	0.092	11.21	NA	NA
"10"	"4"	"HI"	"1WK"	"5"	0.154	9.83	NA	NA
"10"	"4"	"HI"	"4WK"	"5"	0.099	24.32	1.1871921182266	7.7
"11"	"4"	"LO"	"PRE"	"1"	0.209	5.71	1.10476935105551	7.35
"11"	"4"	"LO"	"24H"	"1"	0.159	7.65	NA	NA
"11"	"4"	"LO"	"1WK"	"1"	0.181	8.32	NA	NA
"11"	"4"	"LO"	"4WK"	"1"	0.057	18.58	1.10703205791107	7.41
"11"	"4"	"LO"	"PRE"	"2"	0.192	5.21	1.10835272821308	7.33
"11"	"4"	"LO"	"24H"	"2"	0.18	5.96	NA	NA
"11"	"4"	"LO"	"1WK"	"2"	0.155	7.2	NA	NA
"11"	"4"	"LO"	"4WK"	"2"	0.047	14.13	1.32847854356307	7.56
"11"	"4"	"LO"	"PRE"	"3"	0.2	5.81	1.24428274428274	7.28
"11"	"4"	"LO"	"24H"	"3"	0.134	6.22	NA	NA
"11"	"4"	"LO"	"1WK"	"3"	0.152	10.36	NA	NA
"11"	"4"	"LO"	"4WK"	"3"	0.064	17.1	1.23685594111462	7.38
"11"	"4"	"LO"	"PRE"	"4"	0.156	6.65	1.09347488348006	7.14
"11"	"4"	"LO"	"24H"	"4"	0.144	6.37	NA	NA
"11"	"4"	"LO"	"1WK"	"4"	0.12	9.43	NA	NA
"11"	"4"	"LO"	"4WK"	"4"	0.081	22.43	1.25435630689207	7.34
"11"	"4"	"LO"	"PRE"	"5"	0.166	5.85	0.989076723016905	7.44
"11"	"4"	"LO"	"24H"	"5"	0.103	9.39	NA	NA
"11"	"4"	"LO"	"1WK"	"5"	0.151	9.79	NA	NA
"11"	"4"	"LO"	"4WK"	"5"	0.024	19.95	1.29052304505438	7.36
"12"	"4"	"NO"	"PRE"	"1"	0.171	5.22	1.03259726603575	7.16
"12"	"4"	"NO"	"24H"	"1"	0.091	5.81	NA	NA
"12"	"4"	"NO"	"1WK"	"1"	0.155	9.53	NA	NA
"12"	"4"	"NO"	"4WK"	"1"	0.073	18.41	1.28924116424116	7.45
"12"	"4"	"NO"	"PRE"	"2"	0.162	7.25	1.01170351105332	7.42
"12"	"4"	"NO"	"24H"	"2"	0.134	4.56	NA	NA
"12"	"4"	"NO"	"1WK"	"2"	0.136	9.41	NA	NA
"12"	"4"	"NO"	"4WK"	"2"	0.066	19.19	1.27721748125162	7.37
"12"	"4"	"NO"	"PRE"	"3"	0.245	6.92	1.12952430196484	7.39
"12"	"4"	"NO"	"24H"	"3"	0.114	8.16	NA	NA
"12"	"4"	"NO"	"1WK"	"3"	0.132	10.04	NA	NA
"12"	"4"	"NO"	"4WK"	"3"	0.559	14.59	1.21683606984623	7.62
"12"	"4"	"NO"	"PRE"	"4"	0.192	6.78	1.13067150635209	7.34
"12"	"4"	"NO"	"24H"	"4"	0.09	7.52	NA	NA
"12"	"4"	"NO"	"1WK"	"4"	0.134	9.03	NA	NA
"12"	"4"	"NO"	"4WK"	"4"	0.046	18.97	1.23431829963712	7.31
"12"	"4"	"NO"	"PRE"	"5"	0.3	5.85	1.02076304178562	7.62
"12"	"4"	"NO"	"24H"	"5"	0.071	7.44	NA	NA
"12"	"4"	"NO"	"1WK"	"5"	0.138	11.06	NA	NA
"12"	"4"	"NO"	"4WK"	"5"	0.016	19.28	1.28723128723129	7.23
