"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"381"	2	1	"LO"	"PRE"	5	"NAG"	36.53725774
"382"	2	1	"LO"	"24H"	5	"NAG"	0
"383"	2	1	"LO"	"1WK"	5	"NAG"	60.97406798
"384"	2	1	"LO"	"4WK"	5	"NAG"	15.9893349
"385"	2	1	"LO"	"PRE"	5	"PER1"	7.06991232
"386"	2	1	"LO"	"24H"	5	"PER1"	8.780023629
"387"	2	1	"LO"	"1WK"	5	"PER1"	3.159051343
"388"	2	1	"LO"	"4WK"	5	"PER1"	1.475983248
"389"	2	1	"LO"	"PRE"	5	"PEROX"	11.99605726
"390"	2	1	"LO"	"24H"	5	"PEROX"	13.52703996
"391"	2	1	"LO"	"1WK"	5	"PEROX"	7.071107019
"392"	2	1	"LO"	"4WK"	5	"PEROX"	12.06327466
"393"	2	1	"LO"	"PRE"	5	"PHENOX"	4.926144939
"394"	2	1	"LO"	"24H"	5	"PHENOX"	4.747016329
"395"	2	1	"LO"	"1WK"	5	"PHENOX"	3.912055676
"396"	2	1	"LO"	"4WK"	5	"PHENOX"	10.58729141
"397"	2	1	"LO"	"PRE"	5	"PHOS"	105.9123831
"398"	2	1	"LO"	"24H"	5	"PHOS"	0
"399"	2	1	"LO"	"1WK"	5	"PHOS"	172.6876951
"400"	2	1	"LO"	"4WK"	5	"PHOS"	0
"401"	3	1	"HI"	"PRE"	1	"AG"	0
"402"	3	1	"HI"	"24H"	1	"AG"	5.32824968
"403"	3	1	"HI"	"1WK"	1	"AG"	47.39758721
"404"	3	1	"HI"	"4WK"	1	"AG"	18.40512232
"405"	3	1	"HI"	"PRE"	1	"BG"	363.0983151
"406"	3	1	"HI"	"24H"	1	"BG"	293.0719544
"407"	3	1	"HI"	"1WK"	1	"BG"	498.9299561
"408"	3	1	"HI"	"4WK"	1	"BG"	470.0373683
"409"	3	1	"HI"	"PRE"	1	"BX"	64.38018104
"410"	3	1	"HI"	"24H"	1	"BX"	48.26776513
"411"	3	1	"HI"	"1WK"	1	"BX"	105.0817686
"412"	3	1	"HI"	"4WK"	1	"BX"	66.01354041
"413"	3	1	"HI"	"PRE"	1	"CBH"	39.07186361
"414"	3	1	"HI"	"24H"	1	"CBH"	25.34821642
"415"	3	1	"HI"	"1WK"	1	"CBH"	44.07099703
"416"	3	1	"HI"	"4WK"	1	"CBH"	47.02734179
"417"	3	1	"HI"	"PRE"	1	"LAP"	621.0287763
"418"	3	1	"HI"	"24H"	1	"LAP"	437.9430058
"419"	3	1	"HI"	"1WK"	1	"LAP"	629.8178877
"420"	3	1	"HI"	"4WK"	1	"LAP"	484.4104031
"421"	3	1	"HI"	"PRE"	1	"NAG"	34.47185086
"422"	3	1	"HI"	"24H"	1	"NAG"	7.524493997
"423"	3	1	"HI"	"1WK"	1	"NAG"	59.2179251
"424"	3	1	"HI"	"4WK"	1	"NAG"	12.88829252
"425"	3	1	"HI"	"PRE"	1	"PER1"	1.559385791
