"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Substrate"	"Enzyme_nm_g_hr"
"1"	"1"	"NO"	"4WK"	"4"	"PHENOX"	7.052763053
"1"	"1"	"NO"	"PRE"	"4"	"PHOS"	135.2342521
"1"	"1"	"NO"	"24H"	"4"	"PHOS"	0
"1"	"1"	"NO"	"1WK"	"4"	"PHOS"	136.2569579
"1"	"1"	"NO"	"4WK"	"4"	"PHOS"	0
"1"	"1"	"NO"	"PRE"	"5"	"AG"	16.16095351
"1"	"1"	"NO"	"24H"	"5"	"AG"	38.42194099
"1"	"1"	"NO"	"1WK"	"5"	"AG"	53.18297931
"1"	"1"	"NO"	"4WK"	"5"	"AG"	27.38696241
"1"	"1"	"NO"	"PRE"	"5"	"BG"	226.3613949
"1"	"1"	"NO"	"24H"	"5"	"BG"	431.6000069
"1"	"1"	"NO"	"1WK"	"5"	"BG"	574.0702355
"1"	"1"	"NO"	"4WK"	"5"	"BG"	612.8563059
"1"	"1"	"NO"	"PRE"	"5"	"BX"	39.40244407
"1"	"1"	"NO"	"24H"	"5"	"BX"	95.72806616
"1"	"1"	"NO"	"1WK"	"5"	"BX"	109.5580452
"1"	"1"	"NO"	"4WK"	"5"	"BX"	62.09011697
"1"	"1"	"NO"	"PRE"	"5"	"CBH"	15.80312248
"1"	"1"	"NO"	"24H"	"5"	"CBH"	47.94952788
"1"	"1"	"NO"	"1WK"	"5"	"CBH"	53.80589832
"1"	"1"	"NO"	"4WK"	"5"	"CBH"	62.74408599
"1"	"1"	"NO"	"PRE"	"5"	"LAP"	500.4843364
"1"	"1"	"NO"	"24H"	"5"	"LAP"	575.2946571
"1"	"1"	"NO"	"1WK"	"5"	"LAP"	750.1596288
"1"	"1"	"NO"	"4WK"	"5"	"LAP"	671.3698359
"1"	"1"	"NO"	"PRE"	"5"	"NAG"	6.55096674
"1"	"1"	"NO"	"24H"	"5"	"NAG"	13.07417155
"1"	"1"	"NO"	"1WK"	"5"	"NAG"	184.2167822
"1"	"1"	"NO"	"4WK"	"5"	"NAG"	9.000834646
"1"	"1"	"NO"	"PRE"	"5"	"PER1"	6.225115322
"1"	"1"	"NO"	"24H"	"5"	"PER1"	2.128054898
"1"	"1"	"NO"	"1WK"	"5"	"PER1"	1.311793567
"1"	"1"	"NO"	"4WK"	"5"	"PER1"	4.19111772
"1"	"1"	"NO"	"PRE"	"5"	"PEROX"	8.91831036
"1"	"1"	"NO"	"24H"	"5"	"PEROX"	7.651470178
"1"	"1"	"NO"	"1WK"	"5"	"PEROX"	3.442797807
"1"	"1"	"NO"	"4WK"	"5"	"PEROX"	10.11411865
"1"	"1"	"NO"	"PRE"	"5"	"PHENOX"	2.693195038
"1"	"1"	"NO"	"24H"	"5"	"PHENOX"	5.52341528
"1"	"1"	"NO"	"1WK"	"5"	"PHENOX"	2.131004241
"1"	"1"	"NO"	"4WK"	"5"	"PHENOX"	5.923000927
"1"	"1"	"NO"	"PRE"	"5"	"PHOS"	171.9697236
"1"	"1"	"NO"	"24H"	"5"	"PHOS"	35.1574106
"1"	"1"	"NO"	"1WK"	"5"	"PHOS"	361.0465621
"1"	"1"	"NO"	"4WK"	"5"	"PHOS"	0
"2"	"1"	"LO"	"PRE"	"1"	"AG"	0
"2"	"1"	"LO"	"24H"	"1"	"AG"	13.30049826
"2"	"1"	"LO"	"1WK"	"1"	"AG"	55.45698127
"2"	"1"	"LO"	"4WK"	"1"	"AG"	28.50214223
"2"	"1"	"LO"	"PRE"	"1"	"BG"	262.6558716
"2"	"1"	"LO"	"24H"	"1"	"BG"	408.2923941
