"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"NO3_mgkgdrysoil"	"NH4_mgkgdrysoil"	"minN_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"
"109"	6	2	"HI"	"PRE"	3	0.518832797	0.23312677	0.751959567	221.3543164	9.39109867	462.2067085	43.17524675
"110"	6	2	"HI"	"24H"	3	0.569690186	0.124141885	0.693832071	113.5741839	8.792341185	367.2383204	35.10966416
"111"	6	2	"HI"	"1WK"	3	0.535237047	0.240927396	0.776164443	180.5570503	10.68961038	717.7343216	30.39667071
"112"	6	2	"HI"	"4WK"	3	0	0.088096579	0.088096579	116.0048445	8.215349847	323.395708	43.45200905
"113"	6	2	"HI"	"PRE"	4	0	0.198650289	0.198650289	347.1357722	13.01904977	548.6560322	47.33342077
"114"	6	2	"HI"	"24H"	4	0.522599896	0.107300013	0.629899909	184.2108734	9.15741436	222.1999451	33.91519144
"115"	6	2	"HI"	"1WK"	4	0	0.189324374	0.189324374	220.1243702	12.8595439	686.6640783	31.33037922
"116"	6	2	"HI"	"4WK"	4	0	0.090285249	0.090285249	119.3478528	8.041969761	360.642086	40.18808733
"117"	6	2	"HI"	"PRE"	5	0.535017713	0.256944777	0.79196249	340.7696803	15.52596817	886.3096454	80.28106397
"118"	6	2	"HI"	"24H"	5	0.522746203	0.101395088	0.624141291	178.9554529	9.495303875	67.57603844	21.56918358
"119"	6	2	"HI"	"1WK"	5	0.550178803	0.35163827	0.901817073	339.4009156	15.23266419	368.2509846	28.4205972
"120"	6	2	"HI"	"4WK"	5	0	0.085195087	0.085195087	191.9477019	9.017312161	232.1915781	37.50572941
"121"	7	3	"LO"	"PRE"	1	0.554680427	0.272513296	0.827193723	245.3020791	11.36239948	702.6595853	62.14205078
"122"	7	3	"LO"	"24H"	1	0.531399592	0.128609353	0.660008945	208.3783968	12.46396569	489.9118773	49.83593352
"123"	7	3	"LO"	"1WK"	1	0.566745286	0.165047706	0.731792992	369.3774466	21.67545977	524.2875774	32.32816173
"124"	7	3	"LO"	"4WK"	1	0.722020326	0.083259234	0.80527956	103.9686899	8.148667322	376.7534388	39.41546018
"125"	7	3	"LO"	"PRE"	2	0	0.381805892	0.381805892	718.4893902	16.61499979	0	23.68672883
"126"	7	3	"LO"	"24H"	2	0.524806358	0.140045619	0.664851977	128.1729287	8.275754959	330.4874759	22.6319489
"127"	7	3	"LO"	"1WK"	2	0	0.190138258	0.190138258	191.5844915	12.8190586	125.2451899	6.216201887
"128"	7	3	"LO"	"4WK"	2	0.805978424	0	0.805978424	104.5393654	7.063542055	336.4268946	40.7275676
"129"	7	3	"LO"	"PRE"	3	0.501037291	0.258671338	0.759708629	231.2241059	8.939289102	451.1491663	44.40910517
"130"	7	3	"LO"	"24H"	3	0.500251206	0.140580463	0.640831669	130.4622456	10.99959166	297.4233554	21.28709249
"131"	7	3	"LO"	"1WK"	3	0.51079088	0.235352485	0.746143365	171.7131092	11.79356544	395.3611344	22.59860362
"132"	7	3	"LO"	"4WK"	3	0.773946736	0	0.773946736	92.73906458	6.802146105	341.3839485	42.00601744
"133"	7	3	"LO"	"PRE"	4	0	0.374030083	0.374030083	533.0370026	13.03514072	0	35.89311957
"134"	7	3	"LO"	"24H"	4	0.611789352	0.089408179	0.701197531	118.6491169	9.624426531	442.2738413	35.4954942
"135"	7	3	"LO"	"1WK"	4	0.566320808	0.25868409	0.825004898	155.6115673	11.05074542	306.0880247	19.01026032
"136"	7	3	"LO"	"4WK"	4	0.792740226	0.096033239	0.888773465	93.23155947	6.574102824	387.8868709	47.07513586
"137"	7	3	"LO"	"PRE"	5	0.517487497	0.199013639	0.716501136	212.6871491	7.774024977	416.9888226	42.02698945
"138"	7	3	"LO"	"24H"	5	0.719321244	0.087487863	0.806809107	120.012335	9.463063642	554.213552	42.90712889
"139"	7	3	"LO"	"1WK"	5	0.486709337	0.118420061	0.605129398	165.7568576	7.88352571	274.5533836	17.26955884
"140"	7	3	"LO"	"4WK"	5	0.664762671	0	0.664762671	156.326929	11.45430656	336.7939432	49.38754068
"141"	8	3	"NO"	"PRE"	1	0	0.21715801	0.21715801	406.8548341	11.44980717	401.8053886	44.42102175
"142"	8	3	"NO"	"24H"	1	0.513092376	0.118329328	0.631421704	151.8262762	10.8460415	300.7449293	29.14015161
"143"	8	3	"NO"	"1WK"	1	0.511493171	0.139241799	0.65073497	345.7342375	19.22750281	448.6074867	31.079161
"144"	8	3	"NO"	"4WK"	1	0	0	0	369.0303275	7.52344293	0	40.54428103
"145"	8	3	"NO"	"PRE"	2	0.522512172	0.223042641	0.745554813	272.5740392	11.924265	0	0
"146"	8	3	"NO"	"24H"	2	0.504934988	0.151819463	0.656754451	214.6563698	12.91318097	448.365156	47.37933465
"147"	8	3	"NO"	"1WK"	2	0.587382992	0.078485238	0.66586823	204.2932128	9.634136834	226.8697734	17.18420361
"148"	8	3	"NO"	"4WK"	2	0.547037626	0.097228106	0.644265732	646.2584121	7.959910202	0	52.75944281
"149"	8	3	"NO"	"PRE"	3	0	0.223189411	0.223189411	209.5028117	10.68908996	453.8111221	48.0960479
"150"	8	3	"NO"	"24H"	3	0.568794527	0.127178096	0.695972623	135.6092379	9.509014461	334.7807525	33.95406465
"151"	8	3	"NO"	"1WK"	3	0.472833772	0.159658625	0.632492397	2366.365591	11.67407316	0	8.544275609
"152"	8	3	"NO"	"4WK"	3	0.741530454	0.085852815	0.827383269	121.5126822	8.827501953	336.6632321	40.56736433
"153"	8	3	"NO"	"PRE"	4	0.436312413	0.213406416	0.649718829	280.135448	9.797827469	35.39302015	31.41537071
"154"	8	3	"NO"	"24H"	4	0.592003299	0.106567893	0.698571192	168.6827048	11.75028194	235.2683076	20.96553897
"155"	8	3	"NO"	"1WK"	4	0	0.088224754	0.088224754	321.110845	8.937064827	3.28759513	17.87601487
"156"	8	3	"NO"	"4WK"	4	1.043970982	0	1.043970982	48.75630095	4.758828115	542.9508887	43.06806559
"157"	8	3	"NO"	"PRE"	5	0.709702537	0.300790139	1.010492676	127.4565203	7.642695338	748.742171	53.20425676
"158"	8	3	"NO"	"24H"	5	0.544450651	0.117529929	0.66198058	175.8065752	8.893661902	215.4264435	29.17962762
"159"	8	3	"NO"	"1WK"	5	0	0.168213781	0.168213781	171.0080756	8.770484518	339.6524244	25.65012352
"160"	8	3	"NO"	"4WK"	5	0.935962898	0	0.935962898	73.75431382	5.710430785	353.0219389	41.73853329
"161"	9	3	"HI"	"PRE"	1	0.568033667	0.238834639	0.806868306	284.8662296	16.85526263	270.4247187	35.62139347
"162"	9	3	"HI"	"24H"	1	0.656975958	0.114682822	0.77165878	196.0608879	15.14184879	546.3265451	63.29547676
"163"	9	3	"HI"	"1WK"	1	0.605781901	0.295406684	0.901188585	432.3093791	22.53335369	441.4908962	33.49839346
"164"	9	3	"HI"	"4WK"	1	0.854965479	0.121040204	0.976005683	211.0380145	15.77891995	372.9075157	60.19629289
"165"	9	3	"HI"	"PRE"	2	0	0.214445211	0.214445211	257.6371009	15.37869128	296.173115	31.63325503
"166"	9	3	"HI"	"24H"	2	0.710299614	0.111646505	0.821946119	114.479615	10.75007218	285.9335056	31.1621765
"167"	9	3	"HI"	"1WK"	2	0.524390825	0.163299189	0.687690014	303.5439537	8.449576586	0	14.68657057
"168"	9	3	"HI"	"4WK"	2	0.757283474	0.093614288	0.850897762	124.2849181	8.310923443	298.5933635	41.18718497
