"sample_type"	"Plot"	"Block"	"Treatment"	"GrazeTime"	"AG"	"BG"	"BX"	"CBH"	"LAP"	"NAG"	"PER1"	"PEROX"	"PHENOX"	"PHOS"	"DON_mgkgdrysoil"	"MBC_mgkgdrysoil"	"MBN_mgkgdrysoil"	"minN_mgkgdrysoil"	"NH4_mgkgdrysoil"	"NO3_mgkgdrysoil"	"NPOC_mgkgdrysoil"	"Gravmois"	"biomass_kg_plot"
"bulk"	4	2	"NO"	"PRE"	47.405100884	479.40009282	118.099813316	57.620851832	534.7597825	75.467148018	3.64862936	6.9383062654	3.3098436994	0.3742506448	7.0479303554	155.39083604	33.420055002	6.5352803626	6.5352803626	1e-05	302.6019473	7.418	2056.51626530612
"rhizospheric"	4	2	"NO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	5	2	"LO"	"PRE"	46.180839026	478.2806239	101.113464488	48.861980942	506.6069704	75.3079282	3.9541286514	4.9231005438	1.3775364752	0	7.0177599466	653.17919384	56.03737763	8.3423249268	8.3423249268	1e-05	292.12557758	5.902	2262.62672727272
"rhizospheric"	5	2	"LO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	6	2	"HI"	"PRE"	42.341061788	492.987605	99.600834688	56.01996369	605.83866256	79.114710964	9.372028542	7.1698340708	0.8341428346	9.024417802	6.1128012876	622.23796758	55.169108564	5.923564481	5.923564481	1e-05	284.2153793	5.348	2185.0393877551
"rhizospheric"	6	2	"HI"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	7	3	"LO"	"PRE"	22.660010417	562.44963178	65.903536662	40.587237014	422.77412876	44.636131	4.6421993242	8.178529874	3.5363305498	4.362665064	3.6755174426	314.15952484	42.60540961	8.481521264	8.481521264	1e-05	388.14795538	5.87	1785.63178947368
"rhizospheric"	7	3	"LO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	8	3	"NO"	"PRE"	43.960732964	622.48072356	94.893320548	63.751785144	388.2510375	59.58450115	10.0987498418	9.2587132456	0.954164238	33.976737238	4.4733295664	327.95035037	36.149594076	6.3966501698	6.3966501698	1e-05	259.30474066	5.994	1858.88630927835
"rhizospheric"	8	3	"NO"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"bulk"	9	3	"HI"	"PRE"	27.584824989	500.82099852	73.487616936	50.140333442	442.54997402	27.395313296	9.4941358658	10.3741753726	1.7601894228	3.201546951	9.168986994	330.3100505	38.336025378	5.6607247298	5.6607247298	1e-05	232.22328262	8.198	1814.11631683168
"rhizospheric"	9	3	"HI"	"PRE"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
